Page #,Slide,Stage Direction in Script,custom,id,Type,Visuals,Text ,Voting Results ,Result Type,Slide,Title,Text
12,21,(SCORE SCREEN: Marta & Thaddeus ~ 1) Each Other’s Type to a T! OR 2) Major Typo!),FALSE,type-mt,Image,Vote ,Marta & Thaddeus ~ 1) Each Other’s Type to a T! OR 2) Major Typo!,,,21,Marta & Thad,Marta & Thad
,22,(SCORE SCREEN: “Most Compatible: [Pair]!” They cheer.),TRUE,results-most-compatible,Image,Live Vote results,Most Compatible!,Most Compatible Results (couple),Complete ranking,22,Thanks,Thanks for voting!
,23,(SCORE SCREEN: “Winner: Alfie!” MILLICENT exits.),FALSE,winner-alfie,Image,Pink background,Winner: Alfie!,,,,,
,24,“Alfie!”--that’s me!--“Congratulations on winning the first challenge! Please head to the Love Nest…” (HENRIETTA squeals) “...to collect your prize…,FALSE,blue3,Image,Blue background,Congratulations on winning the first challenge! Please head to the Love Nest to collect your prize…,,,,,
,25,A bombshell.,FALSE,blue4,Image,Blue background,Congratulations on winning the first challenge! Please head to the Love Nest to collect your prize… A bombshell.,,,,,
13,26,(SCORE SCREEN plays [the loser’s] pre-recorded reaction in a confessional-style revelation.),TRUE,video-first-loser-cc,Video,Video - [Loser’s] pre-recorded reaction in confessional,LOSERS: Charlotte & Callum,Bottom couple from Slide 22 results,,,,
,27,,FALSE,video-first-loser-ha,Video,,LOSERS: Henrietta & Alfie,,,,,
,28,,FALSE,video-first-loser-mt,Video,,LOSERS: Marta & Thaddeus,,,,,
,29,,FALSE,video-first-loser-pr,Video,,LOSERS: Poppi & Rory,,,,,
14,30,Top of Scene 3,FALSE,love-nest1,Image,Love Nest background,,,,,,
,31,"(The Score Screen blinks on and projects NAMELESS ONSCREEN WOMAN, who is a compilation of static images.",FALSE,nameless-buttons,Image,Nameless Onscreen Woman + buttons,,,,,,
,32,,FALSE,nameless-buttons-speech,Image,Nameless Onscreen Woman + buttons + speech bubble,,,,,,
15,33,"(The SCORE SCREEN updates, announcing her job: Model.)",FALSE,nameless-buttons-model,Image,Nameless Onscreen Woman + buttons + title,Model,,,,,
,34,,FALSE,nameless-buttons-model-speech,Image,Nameless Onscreen Woman + title + speech bubble,,,,,,
16,35,(He clicks a button. Her hips become gigantic.),FALSE,nameless-butt,Image,Nameless Onscreen Woman + mega butt mode,,,,,,
,36,,FALSE,nameless-butt-speech,Image,Nameless Onscreen Woman + mega butt mode + speech bubble,,,,,,
,37,,FALSE,nameless-nest,Image,Nameless Onscreen Woman,,,,,,
,38,,FALSE,nameless-speech,Image,Nameless Onscreen Woman + speech bubble,,,,,,
,39,(SCORE SCREEN: “VOTE NOW: Is she The Hottest or is she THE HOTTEST?!”,FALSE,vote-hottest,Image,Pink background,VOTE NOW: Is she The Hottest or is she THE HOTTEST?!,,,39,Hottest,Is she the hottest or THE HOTTEST??
17,40,Top of Scene 4,FALSE,stars1,Image,Stars,,,,,,
19,41,“Message in a bottle! … ,FALSE,message2,Image,Alert,Message in a bottle!,,,41,Thanks,Thanks for voting!
,42,Henrietta!”,FALSE,message-henrietta1,Image,Alert,Henrietta!,,,,,
,43,"Henrietta — Alfie will remain in the Love Nest tonight. You are now alone and, therefore, ",FALSE,blue5,Image,Blue background,"Henrietta — Alfie will remain in the Love Nest tonight. You are now alone and, therefore, ",,,,,
,44,UNSAFE.,FALSE,blue6,Image,Blue background,UNSAFE.,,,,,
,45,"(SCORE SCREEN: “Which Island Dater is the loneliest, biggest flop??”)",FALSE,vote-loneliest,Image,Vote ,"VOTE NOW: Which Island Dater is the loneliest, biggest flop??",No results,,45,Loneliest Biggest Flop,"VOTE NOW: 
Who is the loneliest, biggest FLOP??"
20,46,(SCORE SCREEN plays Henrietta’s pre-recorded reaction in a confessional-style revelation.),FALSE,video-henrietta-lonely,Video,Video - Henrietta's pre-recorded reaction in confessional,,,,46,Thanks,Thanks for voting!
21,47,Top of Scene 5,FALSE,gym1,Image,Gym,,,,,,
24,48,Top of Scene 6,FALSE,makeup1,Image,Makeup room,,,,,,
,49,(NAMELESS ONSCREEN WOMAN appears onscreen. ,FALSE,nameless-red1,Image,Nameless Onscreen Woman,,,,,,
,50,,FALSE,nameless-red1-speech,Image,Nameless Onscreen Woman + speech bubble,,,,,,
,51,NAMELESS ONSCREEN WOMAN vanishes as the screen goes dark. ,FALSE,black2,Image,Black,,,,,,
28,52,"(A flashy commercial, à la Jet2 Holiday ad, airs on the Score Screen.)",FALSE,commercial1,Video,Video - Commercial I,,,,,,
29,53,Top of Scene 7A,FALSE,pink2,Image,Pink background,,,,,,
,54,(SCORE SCREEN DING!) “Message in a bottle! ,FALSE,message3,Image,Alert,Message in a bottle!,,,,,
,55,… Marta!”,FALSE,message-marta1,Image,Alert,Marta!,,,,,
,56,The Score Screen reflects this message: “CHALLENGE 2: Mono Poly!”,FALSE,challenge2,Image,Pink background,CHALLENGE 2: Mono Poly!,,,,,
,57,(SCORE SCREEN DING!) “Message in a bottle! ,FALSE,message4,Image,Alert,Message in a bottle!,,,,,
,58,… Henrietta!”,FALSE,message-henrietta2,Image,Alert,Henrietta!,,,,,
,59,"“Henrietta, you are alone, and therefore unsafe, ",FALSE,blue7,Image,Blue background,"Henrietta, you are alone and, therefore, unsafe.",,,,,
,60,so you’ll need to rotate among the couples…”,FALSE,blue8,Image,Blue background,so you’ll need to rotate among the couples…,,,,,
30,61,"(The others dissolve, leaving HENRIETTA, ALFIE, and the image of NAMELESS ONSCREEN WOMAN.)",FALSE,nameless-red2,Image,Nameless Onscreen Woman,,,,,,
,62,,FALSE,nameless-red2-speech,Image,Nameless Onscreen Woman + speech bubble,,,,,,
,63,,FALSE,nameless-red3,Image,Nameless Onscreen Woman,,,,,,
32,64,Top of Scene 7A,FALSE,pink3,Image,Pink background,,,,,,
41,65,"(SCORE SCREEN: “VOTE NOW for the raftiest, craftiest Island Dater!”)",FALSE,vote-raftiest,Image,Vote + QR code,"VOTE NOW for the raftiest, craftiest Island Dater!",Results on Slide 66,,65,Raft,"VOTE NOW 
for the Raftiest, Craftiest Island Dater!"
43,66,(SCORE SCREEN announces [the winners] of Challenge 2. ,TRUE,results-challenge-two,Image,Live Vote results,Challenge 2 Winners,Challenge 2 Winners Results (couple),Complete ranking,,,
,67,Score Screen plays their pre-recorded reaction in a confessional-style revelation.),TRUE,video-two-winner-aw,Video,Video - [Winners'] pre-recorded reaction in confessional,Challenge 2 Winners: Alfie & Woman,Top couple from Slide 65 results,,67,Thanks,Thanks for voting!
,68,,FALSE,video-two-winner-cc,Video,,Challenge 2 Winners: Charlotte & Callum,,,,,
,69,,FALSE,video-two-winner-mt,Video,,Challenge 2 Winners: Marta & Thaddeus,,,,,
,70,,FALSE,video-two-winner-pr,Video,,Challenge 2 Winners: Poppi & Rory,,,,,
45,71,Top of Scene 8,FALSE,pink4,Image,Pink background,,,,,,
51,72,(SCORE SCREEN DING!) “Message In A Bottle! ,FALSE,message5,Image,Alert,Message in a bottle!,,,,,
,73,… Rory!”,FALSE,message-rory,Image,Alert,Rory!,,,,,
,74,“Now the Island Daters will play a salacious game of Truth or Dare—with a twist! ,FALSE,blue9,Image,Blue background,Now the Island Daters will play a salacious game of Truth or Dare—with a twist! ,,,,,
,75,"In this version, they either Take A Shot & Tell The Truth, or Blow Kisses To Someone For At Least Sixty Seconds In Order To Get To Know Them Better.”",FALSE,blue10,Image,Blue background,"In this version, they either Take A Shot & Tell The Truth, or Blow Kisses To Someone For At Least Sixty Seconds In Order To Get To Know Them Better.",,,,,
,76,"""TASATTT or BKTSFALSSIOTGTKTB?""",FALSE,pink-tasattt,Image,Pink background,TASATTT or BKTSFALSSIOTGTKTB?,,,,,
,77,Truth or Dare,FALSE,nameless-red4,Image,Nameless,,,,,,
53,78,“Message In A Bottle!”,FALSE,message6,Image,Alert,Message in a bottle!,,,,,
,79,All!,FALSE,message-all1,Image,Alert,All!,,,,,
,80,"""This Message is just telling you to pay attention to Millicent.”",FALSE,blue11,Image,Blue background,This Message is just telling you to pay attention to Millicent.,,,,,
,81,"We're sorry, Millicent.",FALSE,pink5,Image,Pink background,,,,,,
55,82,Intermission prompts,FALSE,vote-intermission,Image,Vote + QR code,Are you the hottest bombshell at Island Dating Show?? Vote Now!,,,82,Intermission Prompts,"I’M THE HOTTEST
BOMBSHELL"
56,83,Top of Act 2 Scene 1,FALSE,pink5.1,Image,Pink background,,,,83,Thanks,Thanks for voting!
58,84,(SCORE SCREEN: “VOTE NOW for your favorite Island Dater couple!”),FALSE,vote-favorite,Image,Vote + QR code,VOTE NOW for your favorite Island Dater!,Results on Slide 85-88,,84,Favorite,"VOTE NOW 
for your FAVORITE Island Dater!"
59,85,"(Rankings appear on the SCORE SCREEN, as voted on by the audience. NAMELESS ONSCREEN WOMAN will always be first. ALFIE will not place in the top three.",TRUE,results-third-place,Image,Live Vote result -- third place,3rd Place,Favorite Island Dater Couple Results: 3rd Place (individual),Only 3rd place couple image,,,
,86,,TRUE,results-second-place,Image,Live Vote result -- second place,2nd Place,Favorite Island Dater Couple Results: 2nd Place (individual),Only 2nd place couple image,,,
,87,,TRUE,results-rigged,Image,All Live Vote results + Nameless Onscreen Woman,1st Place,Favorite Island Dater Couple Results: all (individual),Complete ranking with Onscreen Woman in 1st place,,,
60,88,"(Without a word, CALLUM’s ranking on the Score Screen drops.)",TRUE,results-edited,Image,All Live Vote results + Callum drops,,Favorite Island Dater Couple Results: all (individual),"Complete ranking with Onscreen Woman in 1st place, Callum at bottom",,,
61,89,(A flashy commercial airs on the SCORE SCREEN.),FALSE,commercial2,Video,Video - Commercial II,,,,89,Thanks,Thanks for voting!
62,90,Top of Scene 2,FALSE,gym2,Image,Gym,,,,,,
66,91,Top of Scene 3,FALSE,makeup2,Image,Makeup room,,,,,,
67,92,(NAMELESS ONSCREEN WOMAN pops onscreen suddenly.),FALSE,nameless-red5,Image,Nameless Onscreen Woman,,,,,,
,93,,FALSE,nameless-red5-speech,Image,Nameless Onscreen Woman + speech bubble,,,,,,
,94,(HENRIETTA smashes the power button. NAMELESS ONSCREEN WOMAN disappears.),FALSE,black3,Image,Black,,,,,,
70,95,(SCORE SCREEN pops back on with a DING!),FALSE,message7,Image,Alert,Message in a bottle!,,,,,
,96,All!,FALSE,message-all2,Image,Alert,All!,,,,,
,97,"""Noooo!""",FALSE,makeup3,Image,Makeup room,,,,,,
71,98,"(SCORE SCREEN: “The clock is ticking, Island Daters! Secure your couple or risk being ALONE AND THEREFORE UNSAFE!”)",FALSE,secure-couples,Image,Message,"The clock is ticking, Island Daters! Secure your couple or risk being ALONE AND THEREFORE UNSAFE!",,,,,
72,99,Top of Scene 4,FALSE,pink6,Image,Pink background,,,,,,
75,100,(SCORE SCREEN: “VOTE NOW: Are Charlotte and Callum 1) Sweetie Pie or 2) BORING OLD YAWN TOMATO TOMATO TOMATO?”),FALSE,vote-cc,Image,Vote + QR code,VOTE NOW: Are Charlotte and Callum 1) Sweetie Pie or 2) BORING OLD YAWN TOMATO TOMATO TOMATO?,Results go toward Slide 114,,100,Charlotte & Callum,"VOTE NOW: 
are Charlotte & Callum"
75A,101,(A flashy commercial airs on the SCORE SCREEN.),FALSE,commercial3,Video,Video - Commercial III,,,,,,
76,102,Top of Scene 5,FALSE,pink 6.1,Image,Pink background,,,,,,
,103,Top of Scene 6,FALSE,love-nest2,Image,Love Nest background,,,,103,Thanks,Thanks for voting!
80,104,(NAMELESS ONSCREEN WOMAN appears ,FALSE,love-nest2-nameless1,Image,Nameless Onscreen Woman,,,,,,
,105,,FALSE,love-nest2-nameless-speech,Image,Nameless Onscreen Woman + speech bubble,,,,,,
,106,,FALSE,love-nest2-nameless2,Image,Nameless Onscreen Woman,,,,,,
,107,... slowly shifting into an image of MILLICENT by the end of the song.),FALSE,nameless-millicent,Image,Nameless Onscreen Woman + Millicent face,,,,,,
82,108,"The SCORE SCREEN shifts suddenly, reflecting a 15 minute countdown until ‘Winner is Revealed’.",TRUE,video-timer,Video,Timer,15 Minute Countdown Until Winner is Revealed!,,,,,
88,109,"(Suddenly, there is a huge explosion.)",FALSE,explosion,Video,Explosion,,,,,,
,110,Top of Scene 8,FALSE,black4,Image,Black,,,,,,
91,111,Top of Scene 9,FALSE,pink7,Image,Pink background,,,,,,
92,112,(The Island Daters gather around the kitchen island.),FALSE,vote-favorite2,Image,Vote + QR code,VOTE NOW for your favorite Island Dater couple!,Results go toward Slide 114,,112,Final Vote, VOTE NOW  for your FAVORITE Island Dater Couple!
93,113,(SCORE SCREEN: “Votes are in! Announcing our winner!”),FALSE,vote-winners,Image,Vote,Votes are in! Announcing our winners!,,,114,End,"Thanks for voting!
See you next time!"
,114,,TRUE,results-winners-cc,Image,Live Vote results,Congratulations to our Winners! Charlotte & Callum,Winners,Only winning couple image,,,
,115,,FALSE,results-winners-hr,Image,,Congratulations to our Winners! Henrietta & Rory,Winners,,,,
,116,,FALSE,results-winners-md,Image,,Congratulations to our Winners! Marta & Sir David,Winners,,,,
,117,,FALSE,results-winners-pt,Image,,Congratulations to our Winners! Poppi & Thaddeus,Winners,,,,
,118,"Top of ""Next To You""",FALSE,pink8,Image,Pink background,,,,,,
,119,Curtain Call,FALSE,title-final,Image,Title Card,,,,,,
